Arya's Needlework Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/29-8/4,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Wieters, Matt(C) BAL ","Home: 6 (HOU,SEA)Away: 0 ",28,184,98%,91%,0.2352,59,22,79,2
1B,"Santana, Carlos(1B,C) CLE ",Home: 4 (CHW)Away: 3 (@MIA),19,118,99%,98%,0.2680,75,20,74,3
2B,"Kinsler, Ian(2B) TEX ","Home: 4 (LAA,ARI)Away: 3 (@OAK)",18,67,99%,97%,0.2771,85,13,72,15
3B,"Headley, Chase(3B) SD ","Home: 6 (CIN,NYY)Away: 0 ",64,230,78%,53%,0.2500,59,13,50,8
SS,"Segura, Jean(SS) MIL ",Home: 3 (WAS)Away: 3 (@CHC),138,28,94%,71%,0.2942,74,12,49,44
OF,"Davis, Chris(1B,OF) BAL ","Home: 6 (HOU,SEA)Away: 0 ",131,3,99%,98%,0.2860,103,53,138,4
OF,"Hamilton, Josh(OF) LAA ",Home: 4 (TOR)Away: 3 (@TEX),16,127,98%,89%,0.2500,73,21,79,4
OF,"Rios, Alex(OF) TEX ","Home: 4 (LAA,ARI)Away: 3 (@OAK)",75,12,99%,96%,0.2776,83,18,81,42
DH,"Ortiz, David(1B) BOS ","Home: 7 (TB,SEA,ARI)Away: 0 ",27,17,98%,92%,0.3089,84,30,103,4

Bench (3B),"Youkilis, Kevin(1B,3B) NYY ","Home: 0 Away: 5 (@LAD,@SD)",236,835,20%,2%,0.2190,12,2,8,0
Bench (OF),"Braun, Ryan(OF) MIL ",Home: 3 (WAS)Away: 3 (@CHC),1,325,45%,7%,0.2978,30,9,38,4
Bench (DH),"De Aza, Alejandro(OF) CHW ","Home: 0 Away: 7 (@CLE,@DET)",105,70,88%,72%,0.2636,84,17,62,20
Arya's Needlework Pitchers
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Pitchers,7/29-8/4,Proj.,Actual,Own,Start,ERA,WHIP,W,K,S,
P,"Balfour, Grant(P) OAK ","Home: 6 (TOR,TEX)Away: 0 ",178,204,87%,76%,2.585,1.1968,1,72,38
P,"Kershaw, Clayton(P) LAD ",Home: 2 (NYY)Away: 4 (@CHC),4,5,97%,91%,1.831,0.9153,16,232,0
P,"Masterson, Justin(P) CLE ",Home: 4 (CHW)Away: 3 (@MIA),408,91,81%,36%,3.451,1.2021,14,195,0
